year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2011/2012,63207000,0,"Cranberries, NS as to raw, cooked, or canned",1,Links to FNDDS,NA,3.656926
2011/2012,63207110,0,"Cranberries, cooked or canned (Includes cranberry sauce)",1,Links to FNDDS,NA,0.327297
2011/2012,63219020,0,"Raspberries, red, raw",2,Links to altEC,NA,1.439418
2011/2012,63219610,0,"Raspberries, frozen, unsweetened",2,Links to altEC,NA,1.435864
2011/2012,63219620,0,"Raspberries, frozen, with sugar",1,Links to FNDDS,NA,1.364459
2011/2012,63223020,0,"Strawberries, raw (Includes strawberries, NS as to raw, cooked, canned, or frozen)",2,Links to altEC,NA,0.520871
2011/2012,63223110,0,"Strawberries, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",1,Links to FNDDS,NA,0.382347
2011/2012,63223600,0,"Strawberries, frozen, NS as to added sweetener (Includes home frozen)",1,Links to FNDDS,NA,0.599098
2011/2012,63223610,0,"Strawberries, frozen, unsweetened",2,Links to altEC,NA,0.5284
2011/2012,63223620,0,"Strawberries, frozen, with sugar",2,Links to altEC,NA,0.599098
2011/2012,63301010,0,Ambrosia,1,Links to FNDDS,NA,1.11128
2011/2012,63311000,0,"Fruit salad, fresh or raw, (excluding citrus fruits), no dressing (Includes fruit cocktail or mix, raw, without oranges, grapefruit, tangerines, clementines or other citrus fruits, fruit salad, NFS, with nuts)",4,FNDDS recipe with modified SR codes,NA,0.466822
2011/2012,63311050,0,"Fruit salad, fresh or raw, (including citrus fruits), no dressing (Includes fruit cocktail or mix, raw, with oranges, grapefruit, tangerines, clementines or other citrus fruits, with nuts)",4,FNDDS recipe with modified SR codes,NA,0.422069
2011/2012,63311080,0,"Fruit cocktail or mix, frozen",1,Links to FNDDS,NA,0.454108
2011/2012,63311110,0,"Fruit cocktail, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener (Includes fruit compote, NFS, canned fruit, NFS, fruit cocktail, mix, or salad made from a combination of cooked, canned, fruit cocktail, NFS)",1,Links to FNDDS,NA,0.382198
2011/2012,63311120,0,"Fruit cocktail, cooked or canned, unsweetened, water pack (Includes fruit cocktail, mix, or salad made from a combination of cooked, canned)",1,Links to FNDDS,NA,0.420342
2011/2012,63311130,0,"Fruit cocktail, cooked or canned, in heavy syrup (Includes fruit cocktail, cooked or canned, with syrup, NS as to light or heavy, fruit cocktail, mix, or salad made from a combination of cooked, canned)",1,Links to FNDDS,NA,0.393867
2011/2012,63311140,0,"Fruit cocktail, cooked or canned, in light syrup (Includes fruit cocktail, mix, or salad made from a combination of cooked, canned, Del Monte Fruit To-Go)",1,Links to FNDDS,NA,0.362951
2011/2012,63311145,0,"Tropical fruit cocktail, cooked or canned, in light syrup (Includes canned in juice, tropical fruit, NFS, tropical fruit cocktail, mix, or salad made from a combination of cooked, canned)",1,Links to FNDDS,NA,0.344205
2011/2012,63311150,0,"Fruit cocktail, cooked or canned, drained solids (Includes fruit cocktail, mix, or salad made from a combination of cooked, canned)",2,Links to altEC,NA,0.393867
2011/2012,63311170,0,"Fruit cocktail, cooked or canned, juice pack (Includes fruit cocktail, mix, or salad made from a mixture of cooked, canned & raw fruits)",1,Links to FNDDS,NA,0.316759
2011/2012,63320100,0,"Fruit salad, Puerto Rican style (Mixture includes bananas, papayas, oranges, etc.) (Ensalada de frutas tropicales)",4,FNDDS recipe with modified SR codes,NA,0.43712
2011/2012,63401010,0,"Apple salad with dressing (Includes Waldorf salad, fruit and nut salad with apples, celery and walnuts)",4,FNDDS recipe with modified SR codes,NA,0.465731
2011/2012,63401060,0,"Apple, candied (Includes caramel apples)",1,Links to FNDDS,NA,0.761051
2011/2012,63401070,0,"Fruit, chocolate covered (Includes strawberries coated with chocolate, fruit dipped in chocolate fondue, see 917 subgroup for chocolate covered raisins)",1,Links to FNDDS,NA,1.342804
2011/2012,63402960,0,"Fruit salad (excluding citrus fruits) with whipped cream (Includes with nuts, made with cream, sour cream or yogurt)",4,FNDDS recipe with modified SR codes,NA,0.459316
2011/2012,63409010,0,"Guacamole (Includes avocado dip, NFS, guacamole with or without tomatoes and with or without peppers)",1,Links to FNDDS,NA,1.092525
2011/2012,63409020,0,Chutney,1,Links to FNDDS,NA,1.51983
2011/2012,63420110,0,"Fruit juice bar, frozen, flavor other than orange (Includes Dole Fruit 'N Juice Bar, Frozfruit Bar, Popsicle Juice Jets, Chunks O' Fruti, Minute Maid Fruit Juicee, Welch's Fruit Juice Bar, NS as to flavor)",2,Links to altEC,NA,0.634279
2011/2012,63420200,0,"Fruit juice bar, frozen, sweetened with low calorie sweetener, flavors other than orange (Includes Dole No Sugar Added Fruit Juice Bars)",2,Links to altEC,NA,0.47031
2011/2012,63430100,0,"Sorbet, fruit, noncitrus flavor",1,Links to FNDDS,NA,0.533333
2011/2012,64100100,0,"Fruit juice, NFS (Includes juice, NFS)",4,FNDDS recipe with modified SR codes,NA,0.150882
2011/2012,64100110,0,"Fruit juice blend, 100% juice (Includes Juicy Juice blends, Welch's 100% juice blends)",1,Links to FNDDS,NA,0.164389
2011/2012,64100200,0,"Fruit juice blend, with cranberry, 100% juice (Includes Ocean Spray 100% Juice Blends, all flavors, ""cranberry juice, 100% juice"")",1,Links to FNDDS,NA,0.149881
2011/2012,64101010,0,"Apple cider (Includes cider, NFS, sparkling cider)",1,Links to FNDDS,NA,0.153798
2011/2012,64104010,0,Apple juice,1,Links to FNDDS,NA,0.125496
2011/2012,64116020,0,Grape juice,1,Links to FNDDS,NA,0.18149
2011/2012,64124020,0,Pineapple juice,1,Links to FNDDS,NA,0.177783
2011/2012,64126000,0,Pomegranate juice,1,Links to FNDDS,NA,0.479753
2011/2012,64132010,0,Prune juice,1,Links to FNDDS,NA,0.220901
2011/2012,64132500,0,Strawberry juice,2,Links to altEC,NA,0.235658
2011/2012,64133100,0,Watermelon juice,2,Links to altEC,NA,0.476011
2011/2012,64134000,0,"Fruit smoothie drink, made with fruit or fruit juice only (no dairy products)",1,Links to FNDDS,NA,0.510693
2011/2012,64203020,0,Guava nectar,1,Links to FNDDS,NA,0.136348
2011/2012,64204010,0,Mango nectar,1,Links to FNDDS,NA,0.128287
2011/2012,64205010,0,Peach nectar,1,Links to FNDDS,NA,0.131616
2011/2012,64221010,0,Soursop (Guanabana) nectar,1,Links to FNDDS,NA,0.17147
2011/2012,64401000,0,"Vinegar (Includes fruit-flavored vinegar, wine vinegar)",2,Links to altEC,NA,0.299756
2011/2012,67100100,0,"Fruit, baby food, NFS",1,Links to FNDDS,NA,0.759667
2011/2012,67100200,0,"Tropical fruit medley, baby food, strained (Includes Gerber)",1,Links to FNDDS,NA,1.388209
2011/2012,67100300,0,"Apples, baby food, toddler (Includes Gerber Graduates Diced Apples)",1,Links to FNDDS,NA,0.74452
2011/2012,67101000,0,"Apple-raspberry, baby food, NS as to strained or junior (Includes apple-blueberry)",1,Links to FNDDS,NA,0.773863
2011/2012,67101010,0,"Apple-raspberry, baby food, strained (Includes apple-blueberry, Earth's Best, Beech-Nut Stage 2, Gerber Second Foods)",1,Links to FNDDS,NA,0.548762
2011/2012,67102000,0,"Applesauce, baby food, NS as to strained or junior",1,Links to FNDDS,NA,0.796705
2011/2012,67102010,0,"Applesauce, baby food, strained (Includes Gerber Second Foods, Earth's Best Apples, Beech-Nut Stage 1 Starter Size, Beech-Nut Stage 1, Gerber First Foods)",1,Links to FNDDS,NA,0.482573
2011/2012,67104010,0,"Applesauce and apricots, baby food, strained (Includes Beech-Nut Stage 2 Apples and Apricots, Earth's Best Apples and Apricots, Gerber Second Foods)",1,Links to FNDDS,NA,0.51907
2011/2012,67104030,0,"Applesauce with bananas, baby food, NS as to strained or junior",1,Links to FNDDS,NA,0.781288
2011/2012,67104040,0,"Applesauce with bananas, baby food, strained (Includes Earth's Best Apples and Bananas, Beech-Nut Stage 2 Apples and Bananas)",1,Links to FNDDS,NA,0.44788
2011/2012,67104060,0,"Applesauce with bananas, baby food, junior (Includes Beech-Nut Stage 3 Apples and Bananas)",1,Links to FNDDS,NA,0.382066
2011/2012,67104070,0,"Applesauce with cherries, baby food, strained (Includes Beech-Nut Stage 2 Apples and Cherries)",1,Links to FNDDS,NA,0.509077
2011/2012,67105030,0,"Bananas, baby food, strained (Includes Beech-Nut Stage 1, Gerber First Foods, Beech-Nut Stage 1 Starter Size, Earth's Best, Gerber Second Foods, Beech-Nut Stage 2)",1,Links to FNDDS,NA,0.610474
2011/2012,67106010,0,"Bananas with apples and pears, baby food, strained (Includes Gerber Second Foods)",1,Links to FNDDS,NA,0.610136
2011/2012,67106050,0,"Banana with mixed berries, baby food, strained (Includes Gerber Second Foods)",1,Links to FNDDS,NA,0.827692
2011/2012,67108000,0,"Peaches, baby food, NS as to strained or junior",1,Links to FNDDS,NA,3.058357
2011/2012,67108010,0,"Peaches, baby food, strained (Includes Gerber Second Foods, Beech-Nut Stage 1 Starter Size, Beech-Nut Stage 1, Gerber First Foods)",1,Links to FNDDS,NA,0.570691
2011/2012,67109000,0,"Pears, baby food, NS as to strained or junior",1,Links to FNDDS,NA,0.646788
2011/2012,67109010,0,"Pears, baby food, strained (Includes Earth's Best, Gerber First Foods, Gerber Second Foods, Beech-Nut Stage 1 Starter Size, Beech-Nut Stage 1, Beech-Nut Stage 2)",1,Links to FNDDS,NA,0.669465
2011/2012,67109020,0,"Pears, baby food, junior (Includes Gerber Third Foods, Beech-Nut Stage 3)",1,Links to FNDDS,NA,0.423328
2011/2012,67110000,0,"Prunes, baby food, strained (Includes Gerber First Foods)",1,Links to FNDDS,NA,0.711887
2011/2012,67114010,0,"Pears and pineapple, baby food, strained (Includes Beech-Nut Stage 2, Gerber Second Foods)",1,Links to FNDDS,NA,0.518177
2011/2012,67202000,0,"Apple juice, baby food (Includes Beech-Nut Stage 1, Earth's Best, Gerber)",1,Links to FNDDS,NA,0.295726
2011/2012,67203000,0,"Apple with other fruit juice, baby food",1,Links to FNDDS,NA,0.206172
2011/2012,67203700,0,"Apple-prune juice, baby food (Includes Gerber)",1,Links to FNDDS,NA,0.558342
2011/2012,67203800,0,"Grape juice, baby food (Includes Beech-Nut, Gerber White Grape Juice, Gerber Red Grape Juice, white grape juice)",1,Links to FNDDS,NA,0.240741
2011/2012,67204000,0,"Mixed fruit juice, not citrus, baby food (Includes baby juice, NFS, Beech-Nut Stage 2)",1,Links to FNDDS,NA,0.269779
2011/2012,67212000,0,"Pear juice, baby food (Includes Earth's Best, Gerber, Beech-Nut Stage 1)",1,Links to FNDDS,NA,0.260935
2011/2012,67250150,0,"Mixed fruit juice with lowfat yogurt, baby food (Includes Gerber)",1,Links to FNDDS,NA,0.559395
2011/2012,67304030,0,"Plums, bananas, and rice, baby food strained (Includes Earth's Best)",1,Links to FNDDS,NA,1.148349
2011/2012,67304500,0,"Prunes with oatmeal, baby food, strained (Includes Earth's Best)",1,Links to FNDDS,NA,NA
2011/2012,67308000,0,"Bananas, baby food, NS as to strained or junior",1,Links to FNDDS,NA,0.728011
2011/2012,67309010,0,"Bananas and pineapple, baby food, strained (Includes Gerber Second Foods)",1,Links to FNDDS,NA,NA
2011/2012,67309030,0,"Bananas and strawberry, baby food, junior (Includes Gerber Third Foods)",1,Links to FNDDS,NA,0.573923
2011/2012,67404500,0,"Mixed fruit yogurt dessert, baby food, strained (Includes Beech-Nut Stage 2, Gerber Second Foods)",1,Links to FNDDS,NA,0.57757
2011/2012,67408010,0,"Banana pudding, baby food, strained (Includes Beech-Nut Stage 2)",1,Links to FNDDS,NA,1.135701
2011/2012,67413700,0,"Peach yogurt dessert, baby food, strained (Includes Gerber Second Foods, Beech-Nut Stage 2)",1,Links to FNDDS,NA,0.541418
2011/2012,67414010,0,"Pineapple dessert, baby food, strained (Includes Gerber Second Foods Hawaiian Delight)",1,Links to FNDDS,NA,0.525935
2011/2012,67414100,0,"Mango dessert, baby food (Includes Gerber Tropical Mango with Tapioca Dessert)",1,Links to FNDDS,NA,0.544875
2011/2012,67430000,0,"Fruit flavored snack, baby food (Includes Gerber Graduates for Preschoolers Juice Treats, all flavors)",1,Links to FNDDS,NA,4.487035
2011/2012,67430500,0,"Yogurt and fruit snack, baby food (Includes Gerber Yogurt Melts, all flavors)",1,Links to FNDDS,NA,6.164893
2011/2012,67501000,0,"Apples and chicken, baby food, strained (Includes Gerber Second Foods Simple Recipe, Beech-Nut Stage 2)",1,Links to FNDDS,NA,0.551944
2011/2012,67600100,0,"Apples and sweet potatoes, baby food, strained (Includes Gerber Tender Harvest)",1,Links to FNDDS,NA,1.051524
2011/2012,71000100,0,"White potato, NFS",4,FNDDS recipe with modified SR codes,NA,0.156832
2011/2012,71001000,0,"White potato, raw, with or without peel (assume peel not eaten)",2,Links to altEC,NA,0.139034
2011/2012,71101000,0,"White potato, baked, peel not eaten (Includes NS as to peel eaten)",4,FNDDS recipe with modified SR codes,NA,0.178802
2011/2012,71101100,0,"White potato, baked, peel eaten, NS as to fat added in cooking",4,FNDDS recipe with modified SR codes,NA,0.180376
2011/2012,71101110,0,"White potato, baked, peel eaten, fat not added in cooking",4,FNDDS recipe with modified SR codes,NA,0.173473
2011/2012,71101120,0,"White potato, baked, peel eaten, fat added in cooking",4,FNDDS recipe with modified SR codes,NA,0.180376
2011/2012,71103000,0,"White potato, boiled, without peel, NS as to fat added in cooking (Includes NS as to with or without peel)",4,FNDDS recipe with modified SR codes,NA,0.15774
2011/2012,71103010,0,"White potato, boiled, without peel, fat not added in cooking (Includes NS as to with or without peel)",4,FNDDS recipe with modified SR codes,NA,0.149862
2011/2012,71103020,0,"White potato, boiled, without peel, fat added in cooking (Includes NS as to with or without peel, peeled baked potato, fat added in cooking)",4,FNDDS recipe with modified SR codes,NA,0.158328
2011/2012,71103100,0,"White potato, boiled with peel, peel not eaten, NS as to fat added in cooking",4,FNDDS recipe with modified SR codes,NA,0.15741
2011/2012,71104000,0,"White potato, roasted, NS as to fat added in cooking (Includes seasoned potato)",4,FNDDS recipe with modified SR codes,NA,0.187597
2011/2012,71104010,0,"White potato, roasted, fat not added in cooking (Includes seasoned potato)",4,FNDDS recipe with modified SR codes,NA,0.171993
2011/2012,71104020,0,"White potato, roasted, fat added in cooking (Includes seasoned potato)",4,FNDDS recipe with modified SR codes,NA,0.187597
2011/2012,71201015,0,"White potato chips, regular cut (Includes flavored potato chips, chips, NFS)",1,Links to FNDDS,NA,0.997978
2011/2012,71201020,0,"White potato chips, ruffled, rippled, or crinkle cut (Includes flavored potato chips)",1,Links to FNDDS,NA,0.981303
2011/2012,71201050,0,"White potato, chips, reduced fat (Includes flavored ""light"" potato chips, Ruffles Reduced Fat)",2,Links to altEC,NA,0.997978
2011/2012,71201080,0,"White potato, chips, fat free (Includes Louise's Fat-Free Potato Chips)",2,Links to altEC,NA,0.997978
2011/2012,71201100,0,"White potato, chips, restructured (Includes flavored potato chips, Pringles, Hearty Potato Krunch Twists, Pringles Cheezums)",2,Links to altEC,NA,0.997978
2011/2012,71201200,0,"White potato, chips, restructured, reduced fat and reduced sodium (Includes Pringles Right Crisps)",2,Links to altEC,NA,0.997978
2011/2012,71201250,0,"White potato, chips, restructured, baked (Includes Mr. Phipps Tater Crisps, Baked Lay's Potato Crisps)",1,Links to FNDDS,NA,0.787786
2011/2012,71202000,0,"White potato, chips, unsalted (Includes barbecue-flavored, unsalted)",2,Links to altEC,NA,0.997978
2011/2012,71202500,0,"White potato chips, lightly salted (Includes reduced sodium, all flavors)",2,Links to altEC,NA,0.997978
2011/2012,71205000,0,"White potato, sticks (Includes french fry shaped)",1,Links to FNDDS,NA,1.256301
2011/2012,71220000,0,"Vegetable chips (Includes veggie chips, Eatsmart Veggie Crisps, Terra Exotic Vegetable Chips, Nature's Promise All-Natural Veggie Snacks)",2,Links to altEC,NA,1.862318
2011/2012,71301020,0,"White potato, cooked, with cheese (Includes au gratin, fresh, frozen, canned, and dry potatoes)",1,Links to FNDDS,NA,0.659375
2011/2012,71301020,100531,"White potato, cooked, with cheese W/O FAT",4,FNDDS recipe with modified SR codes,NA,0.224782
2011/2012,71305010,0,"White potato, scalloped (Includes white potato, creamed, fresh, frozen, canned, and dry potatoes)",1,Links to FNDDS,NA,0.628599
2011/2012,71305010,202394,"White potato, scalloped W/O FAT",4,FNDDS recipe with modified SR codes,NA,0.148447
2011/2012,71305110,0,"White potato, scalloped, with ham (Includes fresh, frozen, canned, and dry potatoes)",1,Links to FNDDS,NA,0.843856
2011/2012,71305110,205276,"White potato, scalloped, with ham W/O FAT",4,FNDDS recipe with modified SR codes,NA,0.228614
2011/2012,71401000,0,"White potato, french fries, NS as to from fresh or frozen",1,Links to FNDDS,NA,0.400307
2011/2012,71401010,0,"White potato, french fries, from fresh, deep fried (Includes fried with skins)",4,FNDDS recipe with modified SR codes,NA,0.346239
2011/2012,71401015,0,"White potato, french fries, from fresh, oven baked",4,FNDDS recipe with modified SR codes,NA,0.190109
2011/2012,71401020,0,"White potato, french fries, from frozen, oven baked (Includes from school lunch program)",1,Links to FNDDS,NA,0.439822
2011/2012,71401030,0,"White potato, french fries, from frozen, deep fried, from fast food / restaurant",2,Links to altEC,NA,0.407531
2011/2012,71401035,0,"White potato, french fries, from frozen, NS as to deep fried or oven baked",1,Links to FNDDS,NA,0.407531
2011/2012,71402500,0,"White potato, french fries, with cheese (Includes with sour cream and /or ranch dressing, cheese fries, fast food orders, Arby's cheddar fries)",4,FNDDS recipe with modified SR codes,NA,0.595701
2011/2012,71402505,0,"White potato, french fries, with cheese and bacon (Includes with sour cream and /or ranch dressing, cheese fries or cheddar fries, NFS, Texas cheese fries, bacon cheese fries)",4,FNDDS recipe with modified SR codes,NA,0.708543
2011/2012,71403000,0,"White potato, home fries (Includes fried, NFS, fried raw, cottage style, German fried)",4,FNDDS recipe with modified SR codes,NA,0.221293
2011/2012,71403000,100014,"White potato, home fries W/O FAT",4,FNDDS recipe with modified SR codes,NA,0.207028
2011/2012,71403500,0,"White potato, home fries, with green or red peppers and onions (Includes Potatoes O'Brien)",4,FNDDS recipe with modified SR codes,NA,0.293633
2011/2012,71405000,0,"White potato, hash brown, NS as to from fresh, frozen, or dry mix",1,Links to FNDDS,NA,0.373795
2011/2012,71405010,0,"White potato, hash brown, from fresh",4,FNDDS recipe with modified SR codes,NA,0.492741
2011/2012,71405020,0,"White potato, hash brown, from frozen (Includes McDonald's, Burger King, Hardee's Hash Rounds, other fast food orders)",1,Links to FNDDS,NA,0.419839
2011/2012,71405030,0,"White potato, hash brown, from dry mix",4,FNDDS recipe with modified SR codes,NA,0.492801
2011/2012,71405100,0,"White potato, hash brown, with cheese (Includes Ore Ida Cheddar Browns)",4,FNDDS recipe with modified SR codes,NA,0.551959
2011/2012,71411000,0,"White potato skins, with adhering flesh, fried, with cheese and bacon",4,FNDDS recipe with modified SR codes,NA,1.35767
2011/2012,71501000,0,"White potato, mashed, NFS",1,Links to FNDDS,NA,0.460516
2011/2012,71501010,0,"White potato, from fresh, mashed, made with milk",4,FNDDS recipe with modified SR codes,NA,0.142982
2011/2012,71501015,0,"White potato, from fresh, mashed, made with milk, and sour cream and/or cream cheese",4,FNDDS recipe with modified SR codes,NA,0.233231
2011/2012,71501020,0,"White potato, from fresh, mashed, made with milk and fat",4,FNDDS recipe with modified SR codes,NA,0.153594
2011/2012,71501030,0,"White potato, from fresh, mashed, made with fat",4,FNDDS recipe with modified SR codes,NA,0.161648
2011/2012,71501040,0,"White potato, from dry, mashed, made with milk and fat",4,FNDDS recipe with modified SR codes,NA,0.148218
2011/2012,71501050,0,"White potato, from fresh, mashed, made with milk, fat and cheese",4,FNDDS recipe with modified SR codes,NA,0.192809
2011/2012,71501055,0,"White potato, from fresh, mashed, made with sour cream and/or cream cheese and fat",4,FNDDS recipe with modified SR codes,NA,0.247463
2011/2012,71501080,0,"White potato, from fresh, mashed, not made with milk or fat",4,FNDDS recipe with modified SR codes,NA,0.149862
2011/2012,71501090,0,"White potato, from dry, mashed, made with milk, no fat",4,FNDDS recipe with modified SR codes,NA,0.131688
2011/2012,71501200,0,"White potato, from complete dry mix, mashed, made with water (Includes Idahoan Complete Mashed Potatoes)",4,FNDDS recipe with modified SR codes,NA,0.169148
2011/2012,71501300,0,"White potato, from dry, mashed, NS as to milk or fat",4,FNDDS recipe with modified SR codes,NA,0.14857
2011/2012,71501310,0,"White potato, from fresh, mashed, NS as to milk or fat",4,FNDDS recipe with modified SR codes,NA,0.153594
2011/2012,71503010,0,"White potato, patty (Includes potato croquettes)",4,FNDDS recipe with modified SR codes,NA,0.473188
2011/2012,71505000,0,"White potato, puffs (Includes Ore Ida Crispy Crowns, tater tots)",1,Links to FNDDS,NA,0.352072
2011/2012,71507005,0,"White potato, stuffed, baked, peel not eaten, stuffed with butter or margarine (Includes NS as to peel eaten)",4,FNDDS recipe with modified SR codes,NA,0.224904
2011/2012,71507010,0,"White potato, stuffed, baked, peel not eaten, stuffed with sour cream (Includes NS as to peel eaten)",4,FNDDS recipe with modified SR codes,NA,0.250205
2011/2012,71507020,0,"White potato, stuffed, baked, peel not eaten, stuffed with cheese (Includes NS as to peel eaten, Ore Ida Cheddar Cheese Twice Baked Potatoes)",4,FNDDS recipe with modified SR codes,NA,0.31769
2011/2012,71507040,0,"White potato, stuffed, baked, peel not eaten, stuffed with broccoli and cheese sauce (Includes NS as to peel eaten, Weight Watchers Broccoli and Cheese Baked Potato)",4,FNDDS recipe with modified SR codes,NA,0.275247
2011/2012,71507050,0,"White potato, stuffed, baked, peel not eaten, stuffed with meat in cream sauce (Includes NS as to peel eaten)",4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,71508005,0,"White potato, stuffed, baked, peel eaten, stuffed with butter or margarine",4,FNDDS recipe with modified SR codes,NA,0.210636
2011/2012,71508010,0,"White potato, stuffed, baked, peel eaten, stuffed with sour cream",4,FNDDS recipe with modified SR codes,NA,0.233483
2011/2012,71508020,0,"White potato, stuffed, baked, peel eaten, stuffed with cheese (Includes Ore Ida Cheddar Cheese Twice Baked Potatoes)",4,FNDDS recipe with modified SR codes,NA,0.288116
2011/2012,71508040,0,"White potato, stuffed, baked, peel eaten, stuffed with broccoli and cheese sauce (Includes Weight Watchers Broccoli and Cheese Baked Potato)",4,FNDDS recipe with modified SR codes,NA,0.254026
2011/2012,71508060,0,"White potato, stuffed, baked, peel eaten, stuffed with bacon and cheese",4,FNDDS recipe with modified SR codes,NA,0.40177
2011/2012,71508070,0,"White potato, stuffed, baked, peel not eaten, stuffed with bacon and cheese (Includes NS as to peel eaten)",4,FNDDS recipe with modified SR codes,NA,0.456869
2011/2012,71601010,0,"Potato salad with egg, made with mayonnaise (Includes NS as to type of dressing)",1,Links to FNDDS,NA,0.542038
2011/2012,71601015,0,"Potato salad with egg, made with light mayonnaise (Includes diet, low calorie, low fat, reduced calorie, or reduced fat dressing)",4,FNDDS recipe with modified SR codes,NA,0.229688
2011/2012,71601020,0,"Potato salad with egg, made with mayonnaise-type salad dressing (Includes Miracle Whip, imitation mayonnaise, coleslaw dressing, ""slaw"" dressing)",4,FNDDS recipe with modified SR codes,NA,0.224332
2011/2012,71603010,0,"Potato salad, made with mayonnaise (Includes NS as to type of dressing)",4,FNDDS recipe with modified SR codes,NA,0.20924
2011/2012,71701000,0,Potato pancake (Includes latkes),4,FNDDS recipe with modified SR codes,NA,0.257024
2011/2012,71704000,0,Stewed potatoes with tomatoes (Includes potato and tomato curry),4,FNDDS recipe with modified SR codes,NA,0.241989
2011/2012,71801000,0,"Potato soup, NS as to made with milk or water (Includes with macaroni)",4,FNDDS recipe with modified SR codes,NA,0.210107
2011/2012,71801010,0,"Potato soup, cream of, prepared with milk (Includes Vichyssoise soup, with macaroni)",4,FNDDS recipe with modified SR codes,NA,0.231574
2011/2012,71801100,0,Potato and cheese soup,4,FNDDS recipe with modified SR codes,NA,0.256093
2011/2012,71803010,0,Potato chowder (Includes corn chowder),1,Links to FNDDS,NA,0.431772
2011/2012,71900100,0,"Plantain, boiled, NS as to green or ripe (Includes plantain, NFS)",2,Links to altEC,NA,0.634843
2011/2012,71900200,0,"Plantain, fried, NS as to green or ripe",4,FNDDS recipe with modified SR codes,NA,0.686462
2011/2012,71905000,0,"Ripe plantain, raw",1,Links to FNDDS,NA,0.509583
2011/2012,71905110,0,"Fried ripe plantain, Puerto Rican style (Platano maduro frito) (Includes Amarillos fritos)",4,FNDDS recipe with modified SR codes,NA,0.626416
2011/2012,71905120,0,"Plantain, ripe, rolled in flour, fried",4,FNDDS recipe with modified SR codes,NA,0.595302
2011/2012,71905410,0,Plantain chips,1,Links to FNDDS,NA,0.886602
2011/2012,71910210,0,"Green banana, fried",4,FNDDS recipe with modified SR codes,NA,0.205527
2011/2012,71930100,0,"Cassava (yuca blanca), cooked, fat not added in cooking",3,Original FNDDS recipe,NA,0.271649
2011/2012,71945020,0,"Yam buns, Puerto Rican style (Bunuelos de name)",1,Links to FNDDS,NA,0.59953
2011/2012,71962010,0,"Dasheen, boiled (Includes malanga)",3,Original FNDDS recipe,NA,0.606714
2011/2012,72107100,0,"Collards, raw (Includes collard greens)",2,Links to altEC,NA,0.690603
2011/2012,72107211,0,"Collards, cooked, from fresh, fat not added in cooking (Includes collard greens)",4,FNDDS recipe with modified SR codes,NA,0.695015
2011/2012,72107213,0,"Collards, cooked, from canned, fat not added in cooking (Includes collard greens)",4,FNDDS recipe with modified SR codes,NA,0.695015
2011/2012,72107221,0,"Collards, cooked, from fresh, fat added in cooking (Includes collard greens)",4,FNDDS recipe with modified SR codes,NA,0.688268
2011/2012,72107221,205060,"Collards, cooked, from fresh, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS",4,FNDDS recipe with modified SR codes,NA,0.721375
2011/2012,72107221,205540,"Collards, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)",4,FNDDS recipe with modified SR codes,NA,0.688705
2011/2012,72113100,0,"Dandelion greens, raw",2,Links to altEC,NA,0.87962
2011/2012,72116000,0,"Endive, chicory, escarole, or romaine lettuce, raw",4,FNDDS recipe with modified SR codes,NA,0.945485
2011/2012,72116150,0,"Caesar salad (with romaine), no dressing (Includes Wendy's Caesar Side Salad)",4,FNDDS recipe with modified SR codes,NA,0.80753
2011/2012,72118213,0,"Greens, cooked, from canned, fat not added in cooking",4,FNDDS recipe with modified SR codes,NA,0.596668
2011/2012,72119211,0,"Kale, cooked, from fresh, fat not added in cooking",4,FNDDS recipe with modified SR codes,NA,0.653425
2011/2012,72119213,0,"Kale, cooked, from canned, fat not added in cooking",4,FNDDS recipe with modified SR codes,NA,0.653425
2011/2012,72119221,0,"Kale, cooked, from fresh, fat added in cooking",4,FNDDS recipe with modified SR codes,NA,0.644704
2011/2012,72119221,100780,"Kale, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)",4,FNDDS recipe with modified SR codes,NA,0.645252
2011/2012,72122213,0,"Mustard greens, cooked, from canned, fat not added in cooking",4,FNDDS recipe with modified SR codes,NA,0.49442
2011/2012,72122221,0,"Mustard greens, cooked, from fresh, fat added in cooking",4,FNDDS recipe with modified SR codes,NA,0.634801
2011/2012,72122221,100779,"Mustard greens, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)",4,FNDDS recipe with modified SR codes,NA,0.491157
2011/2012,72125100,0,"Spinach, raw",2,Links to altEC,NA,1.074846
2011/2012,72125200,0,"Spinach, cooked, NS as to form, NS as to fat added in cooking (Includes spinach, NFS)",4,FNDDS recipe with modified SR codes,NA,0.704085
2011/2012,72125210,0,"Spinach, cooked, NS as to form, fat not added in cooking",4,FNDDS recipe with modified SR codes,NA,0.712465
