year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2017/2018,56201051,NA,"Grits, regular or quick, made with water, no added fat (Includes NS as to liquid)",3,Original FNDDS recipe,Base,0.032458
2017/2018,56201052,NA,"Grits, regular or quick, made with water, fat added (Includes NS as to liquid)",4,FNDDS recipe with replaced or modified SR codes,Base,0.043747
2017/2018,56201055,NA,"Grits, regular or quick, made with milk, NS as to fat",4,FNDDS recipe with replaced or modified SR codes,Base,0.144063
2017/2018,56201056,NA,"Grits, regular or quick, made with milk, no added fat",4,FNDDS recipe with replaced or modified SR codes,Base,0.134581
2017/2018,56201090,NA,"Grits, with cheese, NS as to fat (Includes all cooking types; all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.159385
2017/2018,56201091,NA,"Grits, with cheese, no added fat (Includes all cooking types; all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.151023
2017/2018,56201092,NA,"Grits, with cheese, fat added (Includes all cooking types; all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.159385
2017/2018,56201210,NA,"Grits, instant, made with water, no added fat (Includes NS as to liquid)",3,Original FNDDS recipe,Base,0.131724
2017/2018,56201220,NA,"Grits, instant, made with water, fat added (Includes NS as to liquid)",4,FNDDS recipe with replaced or modified SR codes,Base,0.146033
2017/2018,56201342,NA,"Grits, instant, made with milk, no added fat",4,FNDDS recipe with replaced or modified SR codes,Base,0.213074
2017/2018,56201515,NA,"Cornmeal mush, NS as to fat (Includes mush, NFS; polenta; all liquids)",2,Links to altEC,Base,0.107814
2017/2018,56201517,NA,"Cornmeal mush, fat added (Includes mush, NFS; polenta; all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.041379
2017/2018,56201540,NA,"Cornmeal, Puerto Rican Style (Includes Harina de maiz; made with milk and sugar)",4,FNDDS recipe with replaced or modified SR codes,Base,0.139208
2017/2018,56201600,NA,"Masa harina, cooked (Includes Harina de maize con leche)",1,Links to FNDDS,Base,0.150622
2017/2018,56202000,NA,"Millet, no added fat (Includes all liquids)",3,Original FNDDS recipe,Base,0.061534
2017/2018,56202900,NA,"Oatmeal, from fast food, plain",4,FNDDS recipe with replaced or modified SR codes,Base,0.111546
